sample_accession,sample_name,assembler,assembly_type,assembly_accession,FASTA
ERS3190257,10676_0001,IDBA-UD,single sample,ERZ1024255,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024255/10676_0001_idba.fa.gz
ERS3190258,10676_0002,IDBA-UD,single sample,ERZ1024256,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024256/10676_0002_idba.fa.gz
ERS3190259,10676_0003,IDBA-UD,single sample,ERZ1024257,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024257/10676_0003_idba.fa.gz
ERS3190262,10676_0006,IDBA-UD,single sample,ERZ1024258,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024258/10676_0006_idba.fa.gz
ERS3190260,10676_0004,IDBA-UD,single sample,ERZ1024259,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024259/10676_0004_idba.fa.gz
ERS3190271,10676_0015,IDBA-UD,single sample,ERZ1024260,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024260/10676_0015_idba.fa.gz
ERS3190267,10676_0011,IDBA-UD,single sample,ERZ1024261,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024261/10676_0011_idba.fa.gz
ERS3190266,10676_0010,IDBA-UD,single sample,ERZ1024262,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024262/10676_0010_idba.fa.gz
ERS3190268,10676_0012,IDBA-UD,single sample,ERZ1024263,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024263/10676_0012_idba.fa.gz
ERS3190274,10676_0018,IDBA-UD,single sample,ERZ1024264,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024264/10676_0018_idba.fa.gz
ERS3190273,10676_0017,IDBA-UD,single sample,ERZ1024265,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024265/10676_0017_idba.fa.gz
ERS3190278,10676_0022,IDBA-UD,single sample,ERZ1024266,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024266/10676_0022_idba.fa.gz
ERS3190277,10676_0021,IDBA-UD,single sample,ERZ1024267,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024267/10676_0021_idba.fa.gz
ERS3190281,10676_0025,IDBA-UD,single sample,ERZ1024268,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024268/10676_0025_idba.fa.gz
ERS3190284,10676_0028,IDBA-UD,single sample,ERZ1024269,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024269/10676_0028_idba.fa.gz
ERS3190276,10676_0020,IDBA-UD,single sample,ERZ1024270,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024270/10676_0020_idba.fa.gz
ERS3190285,10676_0029,IDBA-UD,single sample,ERZ1024271,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024271/10676_0029_idba.fa.gz
ERS3190291,10676_0035,IDBA-UD,single sample,ERZ1024272,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024272/10676_0035_idba.fa.gz
ERS3190290,10676_0034,IDBA-UD,single sample,ERZ1024273,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024273/10676_0034_idba.fa.gz
ERS3190286,10676_0030,IDBA-UD,single sample,ERZ1024274,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024274/10676_0030_idba.fa.gz
ERS3190292,10676_0036,IDBA-UD,single sample,ERZ1024275,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024275/10676_0036_idba.fa.gz
ERS3190288,10676_0032,IDBA-UD,single sample,ERZ1024276,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024276/10676_0032_idba.fa.gz
ERS3190282,10676_0026,IDBA-UD,single sample,ERZ1024277,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024277/10676_0026_idba.fa.gz
ERS3190289,10676_0033,IDBA-UD,single sample,ERZ1024278,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024278/10676_0033_idba.fa.gz
ERS3190287,10676_0031,IDBA-UD,single sample,ERZ1024279,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024279/10676_0031_idba.fa.gz
ERS3190283,10676_0027,IDBA-UD,single sample,ERZ1024280,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024280/10676_0027_idba.fa.gz
ERS3190304,10676_0048,IDBA-UD,single sample,ERZ1024281,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024281/10676_0048_idba.fa.gz
ERS3190302,10676_0046,IDBA-UD,single sample,ERZ1024282,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024282/10676_0046_idba.fa.gz
ERS3190297,10676_0041,IDBA-UD,single sample,ERZ1024283,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024283/10676_0041_idba.fa.gz
ERS3190263,10676_0049,IDBA-UD,single sample,ERZ1024284,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024284/10676_0049_idba.fa.gz
ERS3190298,10676_0042,IDBA-UD,single sample,ERZ1024285,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024285/10676_0042_idba.fa.gz
ERS3190299,10676_0043,IDBA-UD,single sample,ERZ1024286,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024286/10676_0043_idba.fa.gz
