Title	BioProject	BioSample	Tax ID	GenBank Accn	GenBank FTP	GenBank Accn	GenBank Assembly	RefSeq Accn	RefSeq FTP	RefSeq Accn	RefSeq Assembly
Acetitomaculum ruminis 139 B DSM 5522	PRJEB17106	SAMN05216249	1120918	GCA_900112085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/085/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly	GCA_900112085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/085/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly_genomic.fna.gz	GCF_900112085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/085/GCF_900112085.1_IMG-taxon_2651870361_annotated_assembly	GCF_900112085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/085/GCF_900112085.1_IMG-taxon_2651870361_annotated_assembly/GCF_900112085.1_IMG-taxon_2651870361_annotated_assembly_genomic.fna.gz
Acidaminococcus fermentans pGA-4 	PRJEB17225	SAMN02910455	905	GCA_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/425/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly	GCA_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/115/425/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly/GCA_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz	GCF_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/425/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly	GCF_900115425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/425/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly/GCF_900115425.1_IMG-taxon_2593339211_annotated_assembly_genomic.fna.gz
Acidaminococcus fermentens WCC6 	PRJEB16602	SAMN05216495	905	GCA_900107075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/075/GCA_900107075.1_IMG-taxon_2654588173_annotated_assembly	GCA_900107075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/075/GCA_900107075.1_IMG-taxon_2654588173_annotated_assembly/GCA_900107075.1_IMG-taxon_2654588173_annotated_assembly_genomic.fna.gz	GCF_900107075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/075/GCF_900107075.1_IMG-taxon_2654588173_annotated_assembly	GCF_900107075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/075/GCF_900107075.1_IMG-taxon_2654588173_annotated_assembly/GCF_900107075.1_IMG-taxon_2654588173_annotated_assembly_genomic.fna.gz
Acinetobacter sp IVS-W DSM 11652	PRJEB16873	SAMN05216500	346222	GCA_900109815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/815/GCA_900109815.1_IMG-taxon_2651870317_annotated_assembly	GCA_900109815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/815/GCA_900109815.1_IMG-taxon_2651870317_annotated_assembly/GCA_900109815.1_IMG-taxon_2651870317_annotated_assembly_genomic.fna.gz	GCF_900109815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/815/GCF_900109815.1_IMG-taxon_2651870317_annotated_assembly	GCF_900109815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/815/GCF_900109815.1_IMG-taxon_2651870317_annotated_assembly/GCF_900109815.1_IMG-taxon_2651870317_annotated_assembly_genomic.fna.gz
Actinomyces denticolens PA 	PRJEB18284	SAMN05216246	52767	GCA_900141725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/725/GCA_900141725.1_IMG-taxon_2651870314_annotated_assembly	GCA_900141725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/725/GCA_900141725.1_IMG-taxon_2651870314_annotated_assembly/GCA_900141725.1_IMG-taxon_2651870314_annotated_assembly_genomic.fna.gz	GCF_900141725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/141/725/GCF_900141725.1_IMG-taxon_2651870314_annotated_assembly	GCF_900141725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/141/725/GCF_900141725.1_IMG-taxon_2651870314_annotated_assembly/GCF_900141725.1_IMG-taxon_2651870314_annotated_assembly_genomic.fna.gz
Actinomyces nasicola KPR-1 	PRJEB16663	SAMN02910418	208480	GCA_900107735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/735/GCA_900107735.1_IMG-taxon_2593339153_annotated_assembly	GCA_900107735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/735/GCA_900107735.1_IMG-taxon_2593339153_annotated_assembly/GCA_900107735.1_IMG-taxon_2593339153_annotated_assembly_genomic.fna.gz	GCF_900107735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/735/GCF_900107735.1_IMG-taxon_2593339153_annotated_assembly	GCF_900107735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/735/GCF_900107735.1_IMG-taxon_2593339153_annotated_assembly/GCF_900107735.1_IMG-taxon_2593339153_annotated_assembly_genomic.fna.gz
Actinomyces ruminicola B71 DSM 27982	PRJEB16240	SAMN05216355	332524	GCA_900103885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/885/GCA_900103885.1_IMG-taxon_2651870319_annotated_assembly	GCA_900103885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/885/GCA_900103885.1_IMG-taxon_2651870319_annotated_assembly/GCA_900103885.1_IMG-taxon_2651870319_annotated_assembly_genomic.fna.gz	GCF_900103885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/885/GCF_900103885.1_IMG-taxon_2651870319_annotated_assembly	GCF_900103885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/885/GCF_900103885.1_IMG-taxon_2651870319_annotated_assembly/GCF_900103885.1_IMG-taxon_2651870319_annotated_assembly_genomic.fna.gz
Actinomyces ruminicola KPR-7B 	PRJEB16216	SAMN04487766	332524	GCA_900103565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/565/GCA_900103565.1_IMG-taxon_2608642100_annotated_assembly	GCA_900103565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/565/GCA_900103565.1_IMG-taxon_2608642100_annotated_assembly/GCA_900103565.1_IMG-taxon_2608642100_annotated_assembly_genomic.fna.gz	GCF_900103565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/565/GCF_900103565.1_IMG-taxon_2608642100_annotated_assembly	GCF_900103565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/565/GCF_900103565.1_IMG-taxon_2608642100_annotated_assembly/GCF_900103565.1_IMG-taxon_2608642100_annotated_assembly_genomic.fna.gz
Allisonella histaminiformans MR2 DSM 15230	PRJEB16213	SAMN02910343	209880	GCA_900103425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/425/GCA_900103425.1_IMG-taxon_2595698240_annotated_assembly	GCA_900103425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/425/GCA_900103425.1_IMG-taxon_2595698240_annotated_assembly/GCA_900103425.1_IMG-taxon_2595698240_annotated_assembly_genomic.fna.gz	GCF_900103425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/425/GCF_900103425.1_IMG-taxon_2595698240_annotated_assembly	GCF_900103425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/425/GCF_900103425.1_IMG-taxon_2595698240_annotated_assembly/GCF_900103425.1_IMG-taxon_2595698240_annotated_assembly_genomic.fna.gz
Anaerovibrio lipolyticus LB2005 	PRJNA223047	SAMN02744001	1408423	GCA_000621545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/545/GCA_000621545.1_ASM62154v1	GCA_000621545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/621/545/GCA_000621545.1_ASM62154v1/GCA_000621545.1_ASM62154v1_genomic.fna.gz	GCF_000621545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/545/GCF_000621545.1_ASM62154v1	GCF_000621545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/545/GCF_000621545.1_ASM62154v1/GCF_000621545.1_ASM62154v1_genomic.fna.gz
