Bifidobacterium merycicum RUG133	PRJNA224116	SAMEA104666290	78345	[GCA_900315825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/315/825/GCA_900315825.1_Rumen_uncultured_genome_RUG133)	[GCA_900315825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/315/825/GCA_900315825.1_Rumen_uncultured_genome_RUG133/GCA_900315825.1_Rumen_uncultured_genome_RUG133_genomic.fna.gz)	[GCF_900315825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/315/825/GCF_900315825.1_Rumen_uncultured_genome_RUG133)	[GCF_900315825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/315/825/GCF_900315825.1_Rumen_uncultured_genome_RUG133/GCF_900315825.1_Rumen_uncultured_genome_RUG133_genomic.fna.gz)
Kandleria vitulina RUG287	PRJNA224116	SAMEA104666291	1630	[GCA_900317485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/317/485/GCA_900317485.1_Rumen_uncultured_genome_RUG287)	[GCA_900317485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/317/485/GCA_900317485.1_Rumen_uncultured_genome_RUG287/GCA_900317485.1_Rumen_uncultured_genome_RUG287_genomic.fna.gz)	[GCF_900317485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/317/485/GCF_900317485.1_Rumen_uncultured_genome_RUG287)	[GCF_900317485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/317/485/GCF_900317485.1_Rumen_uncultured_genome_RUG287/GCF_900317485.1_Rumen_uncultured_genome_RUG287_genomic.fna.gz)
Bacillus licheniformis RUG346	PRJNA224116	SAMEA104666289	1402	[GCA_900318095.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/318/095/GCA_900318095.1_Rumen_uncultured_genome_RUG346)	[GCA_900318095.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/318/095/GCA_900318095.1_Rumen_uncultured_genome_RUG346/GCA_900318095.1_Rumen_uncultured_genome_RUG346_genomic.fna.gz)	[GCF_900318095.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/318/095/GCF_900318095.1_Rumen_uncultured_genome_RUG346)	[GCF_900318095.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/318/095/GCF_900318095.1_Rumen_uncultured_genome_RUG346/GCF_900318095.1_Rumen_uncultured_genome_RUG346_genomic.fna.gz)
Thermobifida fusca RUG422	PRJNA224116	SAMEA104666294	2021	[GCA_900318655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/318/655/GCA_900318655.1_Rumen_uncultured_genome_RUG422)	[GCA_900318655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/318/655/GCA_900318655.1_Rumen_uncultured_genome_RUG422/GCA_900318655.1_Rumen_uncultured_genome_RUG422_genomic.fna.gz)	[GCF_900318655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/318/655/GCF_900318655.1_Rumen_uncultured_genome_RUG422)	[GCF_900318655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/318/655/GCF_900318655.1_Rumen_uncultured_genome_RUG422/GCF_900318655.1_Rumen_uncultured_genome_RUG422_genomic.fna.gz)
Megasphaera sp. DJF_B143 RUG618	PRJEB21624	SAMEA104666292	537288	[GCA_900320625.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/320/625/GCA_900320625.1_Rumen_uncultured_genome_RUG618)	[GCA_900320625.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/320/625/GCA_900320625.1_Rumen_uncultured_genome_RUG618/GCA_900320625.1_Rumen_uncultured_genome_RUG618_genomic.fna.gz)		
Acidaminococcus fermentans RUG045	PRJNA224116	SAMEA104666288	905	[GCA_900314805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/805/GCA_900314805.1_Rumen_uncultured_genome_RUG045)	[GCA_900314805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/805/GCA_900314805.1_Rumen_uncultured_genome_RUG045/GCA_900314805.1_Rumen_uncultured_genome_RUG045_genomic.fna.gz)	[GCF_900314805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/314/805/GCF_900314805.1_Rumen_uncultured_genome_RUG045)	[GCF_900314805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/314/805/GCF_900314805.1_Rumen_uncultured_genome_RUG045/GCF_900314805.1_Rumen_uncultured_genome_RUG045_genomic.fna.gz)
Streptococcus equinus RUG664	PRJNA224116	SAMEA104666293	1335	[GCA_900321175.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/321/175/GCA_900321175.1_Rumen_uncultured_genome_RUG664)	[GCA_900321175.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/321/175/GCA_900321175.1_Rumen_uncultured_genome_RUG664/GCA_900321175.1_Rumen_uncultured_genome_RUG664_genomic.fna.gz)	[GCF_900321175.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/321/175/GCF_900321175.1_Rumen_uncultured_genome_RUG664)	[GCF_900321175.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/321/175/GCF_900321175.1_Rumen_uncultured_genome_RUG664/GCF_900321175.1_Rumen_uncultured_genome_RUG664_genomic.fna.gz)
uncultured Candidatus Methanomethylophilus sp. RUG779	PRJEB21624	SAMEA104666451	1908203	[GCA_900313075.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/075/GCA_900313075.1_Rumen_uncultured_genome_RUG779)	[GCA_900313075.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/075/GCA_900313075.1_Rumen_uncultured_genome_RUG779/GCA_900313075.1_Rumen_uncultured_genome_RUG779_genomic.fna.gz)		
uncultured bacterium RUG770	PRJEB21624	SAMEA104666321	77133	[GCA_900313115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/115/GCA_900313115.1_Rumen_uncultured_genome_RUG770)	[GCA_900313115.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/115/GCA_900313115.1_Rumen_uncultured_genome_RUG770/GCA_900313115.1_Rumen_uncultured_genome_RUG770_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG777	PRJEB21624	SAMEA104666714	172733	[GCA_900313125.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/125/GCA_900313125.1_Rumen_uncultured_genome_RUG777)	[GCA_900313125.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/125/GCA_900313125.1_Rumen_uncultured_genome_RUG777/GCA_900313125.1_Rumen_uncultured_genome_RUG777_genomic.fna.gz)		
