Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Butyrivibrio sp.	AE2015		2524614870	Illumina HiSeq	ALLPATHS/Velvet	196.368	99.96	3711555	3275	3203	91.54	0.4	2022	1511	2552	895	74.69	73	Butyrivibrio sp. AE2015 	PRJNA185678	SAMN02440908	1280663	[GCA_000420825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/825/GCA_000420825.1_ASM42082v1)	[GCA_000420825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/825/GCA_000420825.1_ASM42082v1/GCA_000420825.1_ASM42082v1_genomic.fna.gz)	GCA_000420825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/825/GCA_000420825.1_ASM42082v1	GCA_000420825.1_ASM42082v1_genomic.fna.gz	[GCF_000420825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/825/GCF_000420825.1_ASM42082v1)	[GCF_000420825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/825/GCF_000420825.1_ASM42082v1/GCF_000420825.1_ASM42082v1_genomic.fna.gz)	GCF_000420825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/825/GCF_000420825.1_ASM42082v1	GCF_000420825.1_ASM42082v1_genomic.fna.gz
Butyrivibrio sp.	AE3009		2526164511	Illumina HiSeq	ALLPATHS/Velvet	357.574	99.96	4218197	3630	3521	90.72	0.44	2098	1541	2733	923	72.62	103	Butyrivibrio sp. AE3009 	PRJNA185681	SAMN02440909	1280666	[GCA_000420845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/845/GCA_000420845.1_ASM42084v1)	[GCA_000420845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/845/GCA_000420845.1_ASM42084v1/GCA_000420845.1_ASM42084v1_genomic.fna.gz)	GCA_000420845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/845/GCA_000420845.1_ASM42084v1	GCA_000420845.1_ASM42084v1_genomic.fna.gz	[GCF_000420845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/845/GCF_000420845.1_ASM42084v1)	[GCF_000420845.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/845/GCF_000420845.1_ASM42084v1/GCF_000420845.1_ASM42084v1_genomic.fna.gz)	GCF_000420845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/845/GCF_000420845.1_ASM42084v1	GCF_000420845.1_ASM42084v1_genomic.fna.gz
Butyrivibrio sp.	XPD2006		2524614715	Illumina HiSeq	ALLPATHS/Velvet	551.69	99.57	3888106	3523	3456	92.9	0.43	2148	1583	2748	947	75.08	31	Butyrivibrio sp. XPD2006 	PRJNA185683	SAMN02440910	1280668	[GCA_000420865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/865/GCA_000420865.1_ASM42086v1)	[GCA_000420865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/865/GCA_000420865.1_ASM42086v1/GCA_000420865.1_ASM42086v1_genomic.fna.gz)	GCA_000420865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/865/GCA_000420865.1_ASM42086v1	GCA_000420865.1_ASM42086v1_genomic.fna.gz	[GCF_000420865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/865/GCF_000420865.1_ASM42086v1)	[GCF_000420865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/865/GCF_000420865.1_ASM42086v1/GCF_000420865.1_ASM42086v1_genomic.fna.gz)	GCF_000420865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/865/GCF_000420865.1_ASM42086v1	GCF_000420865.1_ASM42086v1_genomic.fna.gz
Dorea sp.	AGR2135		2524614702	Illumina HiSeq	ALLPATHS/Velvet	357.513	99.42	3509498	3548	3448	87.69	0.41	1989	1554	2693	1042	73.82	73	Dorea sp. AGR2135 	PRJNA185686	SAMN02441590	1280669	[GCA_000420885.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/885/GCA_000420885.1_ASM42088v1)	[GCA_000420885.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/885/GCA_000420885.1_ASM42088v1/GCA_000420885.1_ASM42088v1_genomic.fna.gz)	GCA_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/885/GCA_000420885.1_ASM42088v1	GCA_000420885.1_ASM42088v1_genomic.fna.gz	[GCF_000420885.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1)	[GCF_000420885.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1/GCF_000420885.1_ASM42088v1_genomic.fna.gz)	GCF_000420885.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/885/GCF_000420885.1_ASM42088v1	GCF_000420885.1_ASM42088v1_genomic.fna.gz
Butyrivibrio sp.	AD3002		2524614690	Illumina HiSeq	ALLPATHS/Velvet	288.816	99.58	4316529	3946	3874	90.29	0.42	2196	1580	2957	962	72.33	73	Butyrivibrio sp. AD3002 	PRJNA185689	SAMN02441237	1280670	[GCA_000420905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/905/GCA_000420905.1_ASM42090v1)	[GCA_000420905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/905/GCA_000420905.1_ASM42090v1/GCA_000420905.1_ASM42090v1_genomic.fna.gz)	GCA_000420905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/905/GCA_000420905.1_ASM42090v1	GCA_000420905.1_ASM42090v1_genomic.fna.gz	[GCF_000420905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/905/GCF_000420905.1_ASM42090v1)	[GCF_000420905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/905/GCF_000420905.1_ASM42090v1/GCF_000420905.1_ASM42090v1_genomic.fna.gz)	GCF_000420905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/905/GCF_000420905.1_ASM42090v1	GCF_000420905.1_ASM42090v1_genomic.fna.gz
Lachnospiraceae bacterium	NK4A136		2524614706	Illumina HiSeq	ALLPATHS/Velvet	208.071	99.52	2730030	2553	2484	91.03	0.37	1493	1131	1960	781	73.44	78	Lachnospiraceae bacterium NK4A136 	PRJNA185705	SAMN02440911	877420	[GCA_000420925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/925/GCA_000420925.1_ASM42092v1)	[GCA_000420925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/925/GCA_000420925.1_ASM42092v1/GCA_000420925.1_ASM42092v1_genomic.fna.gz)	GCA_000420925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/925/GCA_000420925.1_ASM42092v1	GCA_000420925.1_ASM42092v1_genomic.fna.gz	[GCF_000420925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/925/GCF_000420925.1_ASM42092v1)	[GCF_000420925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/925/GCF_000420925.1_ASM42092v1/GCF_000420925.1_ASM42092v1_genomic.fna.gz)	GCF_000420925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/925/GCF_000420925.1_ASM42092v1	GCF_000420925.1_ASM42092v1_genomic.fna.gz
Butyrivibrio sp.	VCB2006		2524614718	Illumina HiSeq	ALLPATHS/Velvet	863.872	99.96	3947728	3488	3402	91.18	0.41	2059	1487	2667	910	73.8	40	Butyrivibrio sp. VCB2006 	PRJNA185706	SAMN02441238	1280679	[GCA_000420945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/945/GCA_000420945.1_ASM42094v1)	[GCA_000420945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/945/GCA_000420945.1_ASM42094v1/GCA_000420945.1_ASM42094v1_genomic.fna.gz)	GCA_000420945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/945/GCA_000420945.1_ASM42094v1	GCA_000420945.1_ASM42094v1_genomic.fna.gz	[GCF_000420945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/945/GCF_000420945.1_ASM42094v1)	[GCF_000420945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/945/GCF_000420945.1_ASM42094v1/GCF_000420945.1_ASM42094v1_genomic.fna.gz)	GCF_000420945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/945/GCF_000420945.1_ASM42094v1	GCF_000420945.1_ASM42094v1_genomic.fna.gz
Butyrivibrio fibrisolvens	ND3005		2524614875	Illumina HiSeq	ALLPATHS/Velvet	369.721	99.16	4461744	3862	3793	85.88	0.39	2089	1562	2784	949	69.68	160	Butyrivibrio fibrisolvens ND3005 	PRJNA185708	SAMN02441576	1280696	[GCA_000420965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/965/GCA_000420965.1_ASM42096v1)	[GCA_000420965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/965/GCA_000420965.1_ASM42096v1/GCA_000420965.1_ASM42096v1_genomic.fna.gz)	GCA_000420965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/965/GCA_000420965.1_ASM42096v1	GCA_000420965.1_ASM42096v1_genomic.fna.gz	[GCF_000420965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/965/GCF_000420965.1_ASM42096v1)	[GCF_000420965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/965/GCF_000420965.1_ASM42096v1/GCF_000420965.1_ASM42096v1_genomic.fna.gz)	GCF_000420965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/965/GCF_000420965.1_ASM42096v1	GCF_000420965.1_ASM42096v1_genomic.fna.gz
Butyrivibrio fibrisolvens	AB2020		2524614871	Illumina HiSeq	ALLPATHS/Velvet	352.483	100	4735565	4107	4021	85.96	0.4	2301	1702	3041	1000	71.56	170	Butyrivibrio fibrisolvens AB2020 	PRJNA185709	SAMN02441239	1280697	[GCA_000420985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/985/GCA_000420985.1_ASM42098v1)	[GCA_000420985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/985/GCA_000420985.1_ASM42098v1/GCA_000420985.1_ASM42098v1_genomic.fna.gz)	GCA_000420985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/985/GCA_000420985.1_ASM42098v1	GCA_000420985.1_ASM42098v1_genomic.fna.gz	[GCF_000420985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/985/GCF_000420985.1_ASM42098v1)	[GCF_000420985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/985/GCF_000420985.1_ASM42098v1/GCF_000420985.1_ASM42098v1_genomic.fna.gz)	GCF_000420985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/985/GCF_000420985.1_ASM42098v1	GCF_000420985.1_ASM42098v1_genomic.fna.gz
Ruminococcaceae bacterium	NK3B98		2524614801	Illumina HiSeq	ALLPATHS/Velvet	603.349	99.33	3040979	2835	2767	88.66	0.55	1598	1282	2206	841	75.38	211	Ruminococcaceae bacterium NK3B98 	PRJNA185711	SAMN02441577	877414	[GCA_000421005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/005/GCA_000421005.1_ASM42100v1)	[GCA_000421005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/005/GCA_000421005.1_ASM42100v1/GCA_000421005.1_ASM42100v1_genomic.fna.gz)	GCA_000421005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/005/GCA_000421005.1_ASM42100v1	GCA_000421005.1_ASM42100v1_genomic.fna.gz	[GCF_000421005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/005/GCF_000421005.1_ASM42100v1)	[GCF_000421005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/005/GCF_000421005.1_ASM42100v1/GCF_000421005.1_ASM42100v1_genomic.fna.gz)	GCF_000421005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/005/GCF_000421005.1_ASM42100v1	GCF_000421005.1_ASM42100v1_genomic.fna.gz
